ults: 1 - 104 of 104	   

			Jack	Building	Device/Slot/Port ▾	VLAN	Activity	Comments
	Protect this object	See all the users with access to this object	3040BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/39  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	3041BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/40  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	3042BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/41  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	3043BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/42  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	3044BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/43  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	3045BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/44  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	3046BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/45  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	4001BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/46  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	4002BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/47  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	4003BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/48  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	4004BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/1  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	4026BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/2  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	4027BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/3  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	4028BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/4  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	4048BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/5  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	4049BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/6  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	4050BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/7  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	4051BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/8  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	4052BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/9  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	4053BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/10  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	4054BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/11  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	4055BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/12  	148 	View the activity on this jack[8]	View/add comments[5]
	Protect this object	See all the users with access to this object	4056BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/13  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	4057BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/14  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	5001BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/15  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	5002BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/16  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	5003BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/17  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	5004BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/18  	773 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	5005BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/19  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	5006BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/20  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	5020BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/21  	148 	View the activity on this jack[8]	View/add comments[5]
	Protect this object	See all the users with access to this object	5028BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/22  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	5029BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/23  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	5030BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/24  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	5031BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/25  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	5032BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/26  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	5033BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/27  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	5045BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/28  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	5046BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/29  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	5047BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/30  	148 	View the activity on this jack[11]	View/add comments[5]
	Protect this object	See all the users with access to this object	5048BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/31  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	6020BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/32  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	6021BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/33  	148 	View the activity on this jack[8]	View/add comments[5]
	Protect this object	See all the users with access to this object	6022BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/34  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	6023BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/35  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	6024BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/36  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	6025BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/37  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	6026BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/38  	148 	View the activity on this jack[11]	View/add comments[5]
	Protect this object	See all the users with access to this object	B001BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/39  	770 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	B002BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/40  	785 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	B022BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/41  	769 	View the activity on this jack[2]	View/add comments[1]
	Protect this object	See all the users with access to this object	B023BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/42  	148 	View the activity on this jack[2]	View/add comments[1]
	Protect this object	See all the users with access to this object	B024BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/43  	148 	View the activity on this jack[2]	View/add comments[1]
	Protect this object	See all the users with access to this object	1058BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/35  	265 	View the activity on this jack[4]	View/add comments[6]
	Protect this object	See all the users with access to this object	1070BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/36  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	1071BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/37  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	1072BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/38  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	2330BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/39  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	2331BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/40  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	3109BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/41  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	3110BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/42  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	4065BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/43  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	5054BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/44  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	5055BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/45  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	6028BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/46  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	B013BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/47  	265 	View the activity on this jack[4]	View/add comments[4]
	Protect this object	See all the users with access to this object	B014BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/4/48  	265 	View the activity on this jack[4]	View/add comments[4]
